lesson_id,video_id,name,lesson_url,forum_url,course_id
138,cagqUrHMDJ0,Live Coding 7,,https://forums.fast.ai/t/live-coding-7/96811,14
139,-Scs4gbwWXg,Live Coding 8,,https://forums.fast.ai/t/live-coding-8/96825,14
140,EK5wJRzffas,Live Coding 9,,https://forums.fast.ai/t/live-coding-9/96847,14
141,zhBRynq9Yvo,Live Coding 10,,https://forums.fast.ai/t/live-coding-10/96874,14
142,j-zMF2VirA8,Live Coding 11,,https://forums.fast.ai/t/live-coding-11/96891,14
143,GuCkpjXHdTc,Live Coding 12,,https://forums.fast.ai/t/live-coding-12/96909,14
144,INrkhUGCXHg,Live Coding 13,,https://forums.fast.ai/t/live-coding-13/96924,14
145,cs6di5g4Yyo,Live Coding 14,,https://forums.fast.ai/t/live-coding-14/97011,14
146,6JGoes9_bPs,Live Coding 15,,https://forums.fast.ai/t/live-coding-15/97024,14
147,WhuhnJMNack,Live Coding 16,,https://forums.fast.ai/t/live-coding-16/97059,14
148,bk2ylRhka_8,Live Coding 17,,https://forums.fast.ai/t/live-coding-17/97166,14
149,k6QSqz9_vQA,Live Coding 18,,https://forums.fast.ai/t/live-coding-18/97187,14
150,44pe47sB4BI,Walk Through 1,,https://forums.fast.ai/t/fastai-v2-code-walk-thru-1/53940,15
151,yEe5ZUMLEys,Walk Through  2,,https://forums.fast.ai/t/fastai-v2-code-walk-thru-2/53978,15
152,nLhcv71IV6Q,Walk Through 3,,https://forums.fast.ai/t/fastai-v2-code-walk-thru-3/54067,15
153,ntqOMsFq7Jo,Walk Through 4,,https://forums.fast.ai/t/fastai-v2-code-walk-thru-4/54137,15
154,GcMGchBJeXk,Walk Through 5,,https://forums.fast.ai/t/fastai-v2-code-walk-thru-5/54405,15
155,8i9bo5wLSE4,Walk Through 6,,https://forums.fast.ai/t/fastai-v2-code-walk-thru-6/54775,15
156,H_7bcfaLrdI,Walk Through 7,,https://forums.fast.ai/t/fastai-v2-code-walk-thru-7/54924,15
157,yL1un5SH63k,Walk Through 8,,https://forums.fast.ai/t/fastai-v2-code-walk-thru-8/55068,15
158,IbBqFVBpOZoY,Walk Through 9,,https://forums.fast.ai/t/fastai-v2-code-walk-thru-9/55234,15
159,5py5M2DqcRc,Walk Through 10,,https://forums.fast.ai/t/fastai-v2-code-walk-thru-10/55324,15
